1.9.2012 Tommi Soidinmäki & Energia – Tulenliekki, Leppävirta
2.9.2012 Tommi Soidinmäki & Energia – Pavi, Vantaa
8.9.2012 Tommi Soidinmäki & Energia – Ravintola Soittola, Seinäjoki
14.9.2012 Tommi Soidinmäki & Energia – Ravintola Wanha 57, Oulu
22.9.2012 Tommi Soidinmäki & Energia – Limingan NS, Liminka
28.9.2012 Tommi Soidinmäki & Energia – Imatran kylpylä, Imatra
5.10.2012 Tommi Soidinmäki & Energia – Ravintola Pitkä-Jussi, Kurikka
13.10.2012 Tommi Soidinmäki & Energia – Kukonhiekka, Saarijärvi
26.10.2012 Tommi Soidinmäki & Energia – Vartiola, Punkalaidun
27.10.2012 Tommi Soidinmäki & Energia – Wanhan tanssikellari, Helsinki
23.11.2012 Tommi Soidinmäki & Energia – Iskelmäravintola Iiwari, Imatra
24.11.2012 Tommi Soidinmäki & Energia – Kunnonpaikka, Siilinjärvi
27.11.2012 Tommi Soidinmäki & Energia – Hotelli Isovalkeinen, Kuopio
30.11.2012 Tommi Soidinmäki & Energia – Yksityistilaisuus, Pori
14.12.2012 Energia – Yksityistilaisuus, Jyväskylä
15.12.2012 Tommi Soidinmäki & Energia – Urjanlinna, Sievi
8.1.2013 Tommi Soidinmäki & Energia – Viking XPRS, Helsinki
9.1.2013 Tommi Soidinmäki & Energia – Viking XPRS, Helsinki
10.1.2013 Tommi Soidinmäki & Energia – Viking XPRS, Helsinki
19.1.2013 Tommi Soidinmäki & Energia – Latosaari, Lapua
26.1.2013 Tommi Soidinmäki & Energia – Wanhankellari, Helsinki
27.1.2013 Tommi Soidinmäki & Energia – Kivistön työväentalo, Jyväskylä
2.2.2013 Tommi Soidinmäki & Energia – Kartanon kievari, Äänekoski
16.2.2013 Tommi Soidinmäki & Energia – Yksityistilaisuus, Jyväskylä
21.2.2013 Tommi Soidinmäki & Energia – Imatran kylpylä, Imatra
2.3.2013 Tommi Soidinmäki & Energia – Hotelli-ravintola Liesu, Alavus
16.3.2013 Isto Hiltunen & Energia – Yksityistilaisuus, Korpilahti
19.3.2013 Tommi Soidinmäki & Energia – Hotelli Hiitteenharju, Harjavalta
30.3.2013 Tommi Soidinmäki & Energia – Hotelli Pääskynpesä, Ilomantsi
5.4.2013 Tommi Soidinmäki & Energia – Somero, Teeriharju
13.4.2013 Tommi Soidinmäki & Energia – Naapurinvaaran huvikeskus, Sotkamo
3.5.2013 Energia – Hotelli Rantasipi, Jyväskylä
4.5.2013 Tommi Soidinmäki & Energia – Limingan NS, Liminka
8.5.2013 Tommi Soidinmäki & Energia – Wanhankellari, Helsinki
11.5.2013 Tommi Soidinmäki & Energia – Hotelli Isovalkeinen, Kuopio
12.5.2013 Tommi Soidinmäki & Energia – Kirkko, Vihti
18.5.2013 Tommi Soidinmäki & Energia – Urjanlinna, Sievi
23.5.2013 Tommi Soidinmäki & Energia – Kylpylähotelli Peurunka, Laukaa
24.5.2013 Tommi Soidinmäki & Energia – Purjehdusseuran Paviljonki, Uusikaupunki
25.5.2013 Tommi Soidinmäki & Energia – Valasranta, Yläne
7.6.2013 Tommi Soidinmäki & Energia – Pavi, Vantaa
15.6.2013 Tommi Soidinmäki & Energia – Hangan lava, Hankasalmi
16.6.2013 Tommi Soidinmäki & Energia – Silja Europa, Helsinki
17.6.2013 Tommi Soidinmäki & Energia – Silja Europa, Helsinki
18.6.2013 Tommi Soidinmäki & Energia – Silja Europa, Helsinki
19.6.2013 Tommi Soidinmäki & Energia – Silja Europa, Helsinki
